Geography,Geographic_Area_Name,Population 
1400000US24003702704,"Census Tract 7027.04, Anne Arundel County, Maryland",2608
1400000US24003706102,"Census Tract 7061.02, Anne Arundel County, Maryland",2654
1400000US24003706103,"Census Tract 7061.03, Anne Arundel County, Maryland",1498
1400000US24003706302,"Census Tract 7063.02, Anne Arundel County, Maryland",3772
1400000US24003706303,"Census Tract 7063.03, Anne Arundel County, Maryland",2588
1400000US24003706304,"Census Tract 7063.04, Anne Arundel County, Maryland",2055
1400000US24003706402,"Census Tract 7064.02, Anne Arundel County, Maryland",3683
1400000US24003706403,"Census Tract 7064.03, Anne Arundel County, Maryland",4267
1400000US24003706404,"Census Tract 7064.04, Anne Arundel County, Maryland",2459
1400000US24003706500,"Census Tract 7065, Anne Arundel County, Maryland",5793
1400000US24003706600,"Census Tract 7066, Anne Arundel County, Maryland",5221
1400000US24003706700,"Census Tract 7067, Anne Arundel County, Maryland",4878
1400000US24003707001,"Census Tract 7070.01, Anne Arundel County, Maryland",5463
1400000US24003707002,"Census Tract 7070.02, Anne Arundel County, Maryland",4482
1400000US24003708001,"Census Tract 7080.01, Anne Arundel County, Maryland",3742
1400000US24003708004,"Census Tract 7080.04, Anne Arundel County, Maryland",6421
1400000US24003730101,"Census Tract 7301.01, Anne Arundel County, Maryland",2135
1400000US24003730102,"Census Tract 7301.02, Anne Arundel County, Maryland",11304
1400000US24003730204,"Census Tract 7302.04, Anne Arundel County, Maryland",6529
1400000US24003730205,"Census Tract 7302.05, Anne Arundel County, Maryland",2106
1400000US24003730206,"Census Tract 7302.06, Anne Arundel County, Maryland",3202
1400000US24003730300,"Census Tract 7303, Anne Arundel County, Maryland",3893
1400000US24003730401,"Census Tract 7304.01, Anne Arundel County, Maryland",5491
1400000US24003730403,"Census Tract 7304.03, Anne Arundel County, Maryland",4131
1400000US24003730404,"Census Tract 7304.04, Anne Arundel County, Maryland",1890
1400000US24003730507,"Census Tract 7305.07, Anne Arundel County, Maryland",4599
1400000US24003730508,"Census Tract 7305.08, Anne Arundel County, Maryland",2552
1400000US24003730509,"Census Tract 7305.09, Anne Arundel County, Maryland",4502
1400000US24003730510,"Census Tract 7305.10, Anne Arundel County, Maryland",3570
1400000US24003730511,"Census Tract 7305.11, Anne Arundel County, Maryland",1221
1400000US24003730512,"Census Tract 7305.12, Anne Arundel County, Maryland",2029
1400000US24003730513,"Census Tract 7305.13, Anne Arundel County, Maryland",1596
1400000US24003730514,"Census Tract 7305.14, Anne Arundel County, Maryland",3201
1400000US24003730601,"Census Tract 7306.01, Anne Arundel County, Maryland",6928
1400000US24003730603,"Census Tract 7306.03, Anne Arundel County, Maryland",3272
1400000US24003730605,"Census Tract 7306.05, Anne Arundel County, Maryland",2828
1400000US24003730606,"Census Tract 7306.06, Anne Arundel County, Maryland",4638
1400000US24003730701,"Census Tract 7307.01, Anne Arundel County, Maryland",2526
1400000US24003730702,"Census Tract 7307.02, Anne Arundel County, Maryland",4277
1400000US24003730800,"Census Tract 7308, Anne Arundel County, Maryland",2373
1400000US24003730901,"Census Tract 7309.01, Anne Arundel County, Maryland",2821
1400000US24003730902,"Census Tract 7309.02, Anne Arundel County, Maryland",3923
1400000US24003731002,"Census Tract 7310.02, Anne Arundel County, Maryland",3504
1400000US24003731003,"Census Tract 7310.03, Anne Arundel County, Maryland",4444
1400000US24003731004,"Census Tract 7310.04, Anne Arundel County, Maryland",4138
1400000US24003731103,"Census Tract 7311.03, Anne Arundel County, Maryland",5666
1400000US24003731104,"Census Tract 7311.04, Anne Arundel County, Maryland",5605
1400000US24003731105,"Census Tract 7311.05, Anne Arundel County, Maryland",3354
1400000US24003731106,"Census Tract 7311.06, Anne Arundel County, Maryland",4523
1400000US24003731107,"Census Tract 7311.07, Anne Arundel County, Maryland",3846
1400000US24003731201,"Census Tract 7312.01, Anne Arundel County, Maryland",6383
1400000US24003731205,"Census Tract 7312.05, Anne Arundel County, Maryland",5146
1400000US24003731206,"Census Tract 7312.06, Anne Arundel County, Maryland",3559
1400000US24003731207,"Census Tract 7312.07, Anne Arundel County, Maryland",3373
1400000US24003731208,"Census Tract 7312.08, Anne Arundel County, Maryland",4330
1400000US24003731209,"Census Tract 7312.09, Anne Arundel County, Maryland",5024
1400000US24003731210,"Census Tract 7312.10, Anne Arundel County, Maryland",2273
1400000US24003731303,"Census Tract 7313.03, Anne Arundel County, Maryland",6709
1400000US24003731306,"Census Tract 7313.06, Anne Arundel County, Maryland",6072
1400000US24003731307,"Census Tract 7313.07, Anne Arundel County, Maryland",5720
1400000US24003731308,"Census Tract 7313.08, Anne Arundel County, Maryland",4218
1400000US24003731309,"Census Tract 7313.09, Anne Arundel County, Maryland",5115
1400000US24003731310,"Census Tract 7313.10, Anne Arundel County, Maryland",5016
1400000US24003731312,"Census Tract 7313.12, Anne Arundel County, Maryland",4402
1400000US24003731313,"Census Tract 7313.13, Anne Arundel County, Maryland",3574
1400000US24003740103,"Census Tract 7401.03, Anne Arundel County, Maryland",8806
1400000US24003740104,"Census Tract 7401.04, Anne Arundel County, Maryland",8702
1400000US24003740105,"Census Tract 7401.05, Anne Arundel County, Maryland",4015
1400000US24003740106,"Census Tract 7401.06, Anne Arundel County, Maryland",3065
1400000US24003740107,"Census Tract 7401.07, Anne Arundel County, Maryland",3364
1400000US24003740108,"Census Tract 7401.08, Anne Arundel County, Maryland",5218
1400000US24003740203,"Census Tract 7402.03, Anne Arundel County, Maryland",5479
1400000US24003740204,"Census Tract 7402.04, Anne Arundel County, Maryland",4430
1400000US24003740205,"Census Tract 7402.05, Anne Arundel County, Maryland",2800
1400000US24003740303,"Census Tract 7403.03, Anne Arundel County, Maryland",5212
1400000US24003740304,"Census Tract 7403.04, Anne Arundel County, Maryland",6425
1400000US24003740305,"Census Tract 7403.05, Anne Arundel County, Maryland",10810
